"time_window","accept_rate","request","long_waiting","longwait_percent1","longwait_percent4","longwait_percent2","longwait_percent3","Weather Weight_Longwait_percent4","Weather Weight_Longwait_percent2"
"05 16:40:00","0.92631578947368","95","8","0.12631578947368","0.096842105263158","0.092631578947368","0.084210526315789","0.12589473684211","0.12042105263158"
"05 17:00:00","0.9620253164557","79","2","0.025316455696203","0.025316455696203","0.025316455696203","0.025316455696203","0.032911392405063","0.032911392405063"
"05 17:20:00","0.88405797101449","138","15","0.14492753623188","0.1195652173913","0.11594202898551","0.10869565217391","0.1554347826087","0.15072463768116"
"05 17:40:00","0.74285714285714","140","38","0.42142857142857","0.31642857142857","0.30142857142857","0.27142857142857","0.41135714285714","0.39185714285714"
"05 18:00:00","0.68531468531468","143","47","0.48951048951049","0.37692307692308","0.36083916083916","0.32867132867133","0.37692307692308","0.36083916083916"
"05 18:20:00","0.65441176470588","136","52","0.58823529411765","0.44411764705882","0.4235294117647","0.38235294117647","0.44411764705882","0.4235294117647"
"05 18:40:00","0.61111111111111","126","57","0.61111111111111","0.5","0.48412698412698","0.45238095238095","0.5","0.48412698412698"
"05 19:00:00","0.72727272727273","132","43","0.47727272727273","0.37121212121212","0.35606060606061","0.32575757575758","0.37121212121212","0.35606060606061"
"05 19:20:00","0.72549019607843","102","27","0.41176470588235","0.30882352941176","0.29411764705882","0.26470588235294","0.30882352941176","0.29411764705882"
"05 19:40:00","0.83529411764706","85","19","0.31764705882353","0.25176470588235","0.24235294117647","0.22352941176471","0.25176470588235","0.24235294117647"
"05 20:00:00","0.8","65","13","0.24615384615385","0.21384615384615","0.20923076923077","0.2","0.21384615384615","0.20923076923077"
"05 20:20:00","0.76470588235294","51","5","0.17647058823529","0.12156862745098","0.11372549019608","0.098039215686274","0.12156862745098","0.11372549019608"
"05 20:40:00","0.825","40","6","0.25","0.18","0.17","0.15","0.18","0.17"
