time_window,accept_rate,request,long_waiting,longwait_percent1,longwait_percent2,longwait_percent3,longwait_percent4
10 16:40:00,0.8,15,3,0.2,0.2,0.2,0.2
10 17:00:00,1.0,15,0,,,,
10 17:20:00,0.9333333333333333,15,2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
10 17:40:00,1.0,6,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
10 18:00:00,0.9,20,1,0.05,0.05,0.05,0.05
10 18:20:00,0.8421052631578947,19,2,0.21052631578947367,0.1368421052631579,0.10526315789473684,0.12631578947368421
10 18:40:00,0.625,16,6,0.5,0.4125,0.375,0.4
10 19:00:00,1.0,12,2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
10 19:20:00,0.8,10,5,0.6,0.53,0.5,0.52
10 19:40:00,0.7142857142857143,7,2,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
10 20:00:00,0.4375,16,8,0.75,0.575,0.5,0.55
10 20:20:00,0.75,4,3,1.5,0.975,0.75,0.9
10 20:40:00,0.8,5,4,1.4,0.9800000000000001,0.8,0.9199999999999999
11 08:00:00,0.8333333333333334,6,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
11 08:20:00,0.75,4,3,1.0,0.825,0.75,0.8
11 08:40:00,0.8888888888888888,9,0,,,,
11 09:00:00,0.9473684210526315,19,1,0.10526315789473684,0.06842105263157895,0.05263157894736842,0.06315789473684211
11 09:20:00,0.9523809523809523,21,10,0.8095238095238095,0.5761904761904761,0.47619047619047616,0.5428571428571429
11 09:40:00,0.8421052631578947,19,4,0.2631578947368421,0.2263157894736842,0.21052631578947367,0.2210526315789474
11 10:00:00,0.5714285714285714,28,3,0.17857142857142858,0.1285714285714286,0.10714285714285714,0.12142857142857143
11 10:20:00,0.84,25,2,0.16,0.10400000000000001,0.08,0.096
11 10:40:00,0.9,20,4,0.3,0.22999999999999998,0.2,0.22000000000000003
11 11:00:00,0.9642857142857143,28,4,0.25,0.17500000000000002,0.14285714285714285,0.16428571428571428
11 11:20:00,1.0,13,0,,,,
11 11:40:00,0.9285714285714286,14,1,0.14285714285714285,0.09285714285714286,0.07142857142857142,0.08571428571428572
11 12:00:00,0.782608695652174,23,2,0.13043478260869565,0.09999999999999999,0.08695652173913043,0.09565217391304348
11 12:20:00,0.9333333333333333,15,1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
11 12:40:00,0.75,16,5,0.5,0.36875,0.3125,0.35
11 13:00:00,0.6666666666666666,18,5,0.3888888888888889,0.3111111111111111,0.2777777777777778,0.30000000000000004
11 13:20:00,0.92,25,6,0.36,0.276,0.24,0.264
11 13:40:00,0.6666666666666666,30,12,0.6333333333333333,0.47,0.4,0.44666666666666666
11 14:00:00,0.8611111111111112,36,12,0.5555555555555556,0.4,0.3333333333333333,0.37777777777777777
11 14:20:00,0.7380952380952381,42,12,0.40476190476190477,0.32142857142857145,0.2857142857142857,0.30952380952380953
11 14:40:00,0.8333333333333334,24,7,0.4166666666666667,0.32916666666666666,0.2916666666666667,0.31666666666666665
11 15:00:00,0.8108108108108109,37,14,0.6216216216216216,0.45135135135135135,0.3783783783783784,0.42702702702702705
11 15:20:00,0.8333333333333334,36,8,0.3333333333333333,0.25555555555555554,0.2222222222222222,0.24444444444444446
11 15:40:00,0.9473684210526315,19,5,0.42105263157894735,0.3105263157894737,0.2631578947368421,0.29473684210526313
11 16:00:00,0.92,25,3,0.16,0.132,0.12,0.128
11 16:20:00,0.9090909090909091,22,6,0.3181818181818182,0.2863636363636364,0.2727272727272727,0.2818181818181818
11 16:40:00,0.8888888888888888,27,9,0.48148148148148145,0.37777777777777777,0.3333333333333333,0.362962962962963
11 17:00:00,0.8695652173913043,23,5,0.43478260869565216,0.2826086956521739,0.21739130434782608,0.2608695652173913
11 17:20:00,0.7666666666666667,30,14,0.7,0.5366666666666667,0.4666666666666667,0.5133333333333333
11 17:40:00,0.4666666666666667,15,4,0.4,0.30666666666666664,0.26666666666666666,0.29333333333333333
11 18:00:00,0.8571428571428571,14,5,0.42857142857142855,0.37857142857142856,0.35714285714285715,0.37142857142857144
11 18:20:00,0.8947368421052632,19,7,0.631578947368421,0.4473684210526316,0.3684210526315789,0.42105263157894735
11 18:40:00,0.75,12,3,0.3333333333333333,0.27499999999999997,0.25,0.26666666666666666
11 19:00:00,0.6,5,1,0.2,0.2,0.2,0.2
11 19:20:00,0.9,10,0,,,,
11 19:40:00,1.0,10,2,0.3,0.22999999999999998,0.2,0.22000000000000003
11 20:00:00,0.9090909090909091,11,3,0.36363636363636365,0.3,0.2727272727272727,0.29090909090909095
11 20:20:00,0.8461538461538461,13,6,0.7692307692307693,0.5538461538461539,0.46153846153846156,0.5230769230769231
11 20:40:00,0.6666666666666666,9,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
12 08:00:00,0.16666666666666666,6,4,1.3333333333333333,0.8666666666666667,0.6666666666666666,0.7999999999999999
12 08:20:00,0.375,8,4,0.875,0.6125,0.5,0.575
12 08:40:00,0.75,12,6,0.75,0.5750000000000001,0.5,0.5499999999999999
12 09:00:00,0.5714285714285714,7,1,0.2857142857142857,0.18571428571428572,0.14285714285714285,0.17142857142857143
12 09:20:00,0.8888888888888888,18,0,,,,
12 09:40:00,1.0,14,3,0.2857142857142857,0.2357142857142857,0.21428571428571427,0.2285714285714286
12 10:00:00,0.75,24,9,0.5833333333333334,0.4375,0.375,0.4166666666666667
12 10:20:00,0.7692307692307693,13,3,0.3076923076923077,0.25384615384615383,0.23076923076923078,0.24615384615384617
12 10:40:00,0.9375,16,4,0.25,0.25,0.25,0.25
12 11:00:00,0.5581395348837209,43,14,0.4418604651162791,0.36046511627906974,0.32558139534883723,0.3488372093023256
12 11:20:00,0.9629629629629629,27,9,0.5185185185185185,0.3888888888888889,0.3333333333333333,0.37037037037037035
12 11:40:00,0.8571428571428571,21,8,0.6190476190476191,0.4523809523809524,0.38095238095238093,0.42857142857142855
12 12:00:00,0.8666666666666667,15,4,0.4,0.30666666666666664,0.26666666666666666,0.29333333333333333
12 12:20:00,0.9411764705882353,17,1,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
12 12:40:00,0.9285714285714286,14,1,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
