accept_rate,request,long_waiting,longwait_percent1,longwait_percent2,longwait_percent3,longwait_percent4,online_drivers (no data on day 13 - 09:20:00),Percentchange_onlinedrivers,DriverBusyRate,Pricing,Hour,wd1,wd2,wd3,wd4,wd5,wd6,wd7,Request/Supply
0.663043478,92,24,0.347826087,0.286956522,0.260869565,0.27826087,694,-0.069705094,0.148648649,1,0.46875,0,0,1,0,0,0,0,0.132564841
0.803921569,102,25,0.352941176,0.27745098,0.245098039,0.266666667,714,0.028818444,0.123552124,1,0.479166667,0,0,1,0,0,0,0,0.142857143
0.884615385,78,11,0.217948718,0.164102564,0.141025641,0.156410256,649,-0.091036415,0.138655462,1,0.489583333,0,0,1,0,0,0,0,0.1201849
0.931034483,58,7,0.155172414,0.131034483,0.120689655,0.127586207,660,0.016949153,0.126582278,1,0.5,0,0,1,0,0,0,0,0.087878788
0.914893617,47,1,0.021276596,0.021276596,0.021276596,0.021276596,584,-0.115151515,0.115740741,1,0.510416667,0,0,1,0,0,0,0,0.080479452
0.916666667,48,2,0.0625,0.047916667,0.041666667,0.045833333,615,0.053082192,0.099447514,1,0.520833333,0,0,1,0,0,0,0,0.07804878
0.96969697,33,2,0.090909091,0.06969697,0.060606061,0.066666667,562,-0.086178862,0.054945055,1,0.53125,0,0,1,0,0,0,0,0.058718861
0.95,40,1,0.05,0.0325,0.025,0.03,597,0.06227758,0.066666667,1,0.541666667,0,0,1,0,0,0,0,0.067001675
0.857142857,56,1,0.017857143,0.017857143,0.017857143,0.017857143,543,-0.090452261,0.0703125,1,0.552083333,0,0,1,0,0,0,0,0.103130755
0.962264151,53,1,0.037735849,0.024528302,0.018867925,0.022641509,607,0.11786372,0.114006515,1,0.5625,0,0,1,0,0,0,0,0.087314662
0.979591837,49,2,0.081632653,0.053061224,0.040816327,0.048979592,603,-0.006589786,0.125748503,1,0.572916667,0,0,1,0,0,0,0,0.081260365
0.931506849,73,5,0.095890411,0.076712329,0.068493151,0.073972603,659,0.092868988,0.127027027,1,0.583333333,0,0,1,0,0,0,0,0.1107739
