time_window,accept_rate
12 17:40:00,0.8947368421052632
12 18:00:00,0.8823529411764706
12 18:20:00,0.9523809523809523
12 18:40:00,0.8571428571428571
12 19:00:00,0.8461538461538461
12 19:20:00,1.0
12 19:40:00,1.0
12 20:00:00,0.9444444444444444
12 20:20:00,1.0
12 20:40:00,0.8571428571428571
13 08:00:00,0.6666666666666666
13 08:20:00,1.0
13 08:40:00,0.25
13 09:00:00,1.0
13 09:20:00,1.0
13 09:40:00,0.95
13 10:00:00,0.9
13 10:20:00,0.7037037037037037
13 10:40:00,0.6153846153846154
13 11:00:00,0.6382978723404256
13 11:20:00,0.7741935483870968
13 11:40:00,0.7142857142857143
13 12:00:00,0.9411764705882353
13 12:20:00,0.7391304347826086
13 12:40:00,0.8666666666666667
13 13:00:00,0.9411764705882353
13 13:20:00,0.9473684210526315
13 13:40:00,0.8148148148148148
13 14:00:00,0.9655172413793104
13 14:20:00,0.8333333333333334
13 14:40:00,0.92
13 15:00:00,0.9464285714285714
13 15:20:00,0.9473684210526315
13 15:40:00,0.9393939393939394
13 16:00:00,1.0
13 16:20:00,0.9642857142857143
13 16:40:00,0.8888888888888888
13 17:00:00,0.9696969696969697
13 17:20:00,0.9130434782608695
13 17:40:00,0.7777777777777778
13 18:00:00,0.9565217391304348
13 18:20:00,1.0
13 18:40:00,0.9333333333333333
13 19:00:00,0.9
13 19:20:00,1.0
13 19:40:00,0.6785714285714286
13 20:00:00,0.7857142857142857
13 20:20:00,0.9
13 20:40:00,0.5555555555555556
14 08:00:00,1.0
14 08:20:00,0.9
14 08:40:00,0.9565217391304348
14 09:00:00,1.0
14 09:20:00,1.0
14 09:40:00,0.9032258064516129
14 10:00:00,0.9666666666666667
14 10:20:00,0.9512195121951219
14 10:40:00,1.0
14 11:00:00,0.8809523809523809
14 11:20:00,0.8484848484848485
14 11:40:00,0.8823529411764706
14 12:00:00,0.88
14 12:20:00,0.9285714285714286
14 12:40:00,0.8571428571428571
14 13:00:00,1.0
14 13:20:00,1.0
14 13:40:00,1.0
14 14:00:00,1.0
14 14:20:00,0.9761904761904762
14 14:40:00,0.8780487804878049
14 15:00:00,0.8780487804878049
14 15:20:00,0.803921568627451
14 15:40:00,0.8490566037735849
14 16:00:00,0.9
14 16:20:00,0.8695652173913043
14 16:40:00,0.8947368421052632
14 17:00:00,0.88
14 17:20:00,0.9230769230769231
14 17:40:00,0.8518518518518519
14 18:00:00,0.8214285714285714
14 18:20:00,1.0
14 18:40:00,1.0
14 19:00:00,0.9583333333333334
14 19:20:00,1.0
14 19:40:00,1.0
14 20:00:00,0.875
14 20:20:00,1.0
14 20:40:00,1.0
15 08:00:00,0.8333333333333334
15 08:20:00,1.0
15 08:40:00,1.0
15 09:00:00,0.8333333333333334
15 09:20:00,0.9411764705882353
15 09:40:00,1.0
15 10:00:00,0.972972972972973
15 10:20:00,0.7241379310344828
15 10:40:00,0.9666666666666667
15 11:00:00,0.9285714285714286
15 11:20:00,0.8787878787878788
15 11:40:00,0.9090909090909091
15 12:00:00,0.8333333333333334
15 12:20:00,0.8695652173913043
15 12:40:00,0.96
15 13:00:00,0.9411764705882353
15 13:20:00,0.9302325581395349
15 13:40:00,0.9411764705882353
15 14:00:00,0.8444444444444444
15 14:20:00,0.8085106382978723
15 14:40:00,0.8085106382978723
15 15:00:00,0.8679245283018868
15 15:20:00,0.8392857142857143
15 15:40:00,0.8809523809523809
15 16:00:00,1.0
15 16:20:00,0.9411764705882353
15 16:40:00,0.9230769230769231
15 17:00:00,0.9183673469387755
15 17:20:00,1.0
15 17:40:00,0.9444444444444444
15 18:00:00,0.9166666666666666
15 18:20:00,0.9302325581395349
15 18:40:00,0.9230769230769231
15 19:00:00,0.8260869565217391
15 19:20:00,0.9583333333333334
15 19:40:00,0.96
15 20:00:00,0.7692307692307693
15 20:20:00,0.7272727272727273
15 20:40:00,0.9
16 08:00:00,0.75
16 08:20:00,0.875
16 08:40:00,0.9090909090909091
16 09:00:00,0.9285714285714286
16 09:20:00,1.0
16 09:40:00,0.896551724137931
16 10:00:00,0.8387096774193549
16 10:20:00,0.9318181818181818
16 10:40:00,0.8627450980392157
16 11:00:00,0.9310344827586207
16 11:20:00,0.7872340425531915
16 11:40:00,0.7428571428571429
16 12:00:00,0.9393939393939394
16 12:20:00,0.8666666666666667
16 12:40:00,0.9696969696969697
16 13:00:00,0.9444444444444444
16 13:20:00,0.8974358974358975
16 13:40:00,0.875
16 14:00:00,0.7288135593220338
16 14:20:00,0.825
16 14:40:00,0.6666666666666666
16 15:00:00,0.6779661016949152
16 15:20:00,0.8125
16 15:40:00,0.9
16 16:00:00,0.8888888888888888
16 16:20:00,0.9534883720930233
16 16:40:00,0.7948717948717948
16 17:00:00,0.8
16 17:20:00,0.813953488372093
16 17:40:00,0.6764705882352942
16 18:00:00,0.631578947368421
16 18:20:00,0.6140350877192983
16 18:40:00,0.8484848484848485
16 19:00:00,0.8055555555555556
16 19:20:00,0.75
16 19:40:00,0.7586206896551724
16 20:00:00,0.9333333333333333
16 20:20:00,0.8888888888888888
16 20:40:00,1.0
17 08:00:00,1.0
17 08:20:00,1.0
17 08:40:00,0.3333333333333333
17 09:00:00,0.6818181818181818
17 09:20:00,0.5588235294117647
17 09:40:00,0.9473684210526315
17 10:00:00,0.825
17 10:20:00,0.5925925925925926
17 10:40:00,0.8620689655172413
17 11:00:00,0.8695652173913043
17 11:20:00,0.8518518518518519
17 11:40:00,0.9
17 12:00:00,0.9047619047619048
17 12:20:00,0.9583333333333334
17 12:40:00,1.0
17 13:00:00,0.9090909090909091
17 13:20:00,0.75
17 13:40:00,1.0
17 14:00:00,0.96
17 14:20:00,1.0
17 14:40:00,0.7586206896551724
17 15:00:00,0.92
17 15:20:00,0.9354838709677419
17 15:40:00,0.96
17 16:00:00,0.96
17 16:20:00,0.8235294117647058
17 16:40:00,0.9047619047619048
17 17:00:00,0.9259259259259259
17 17:20:00,0.8695652173913043
17 17:40:00,0.8181818181818182
17 18:00:00,0.7222222222222222
17 18:20:00,0.6538461538461539
17 18:40:00,0.75
17 19:00:00,0.64
17 19:20:00,0.8333333333333334
17 19:40:00,1.0
17 20:00:00,1.0
17 20:20:00,1.0
